UnitID,Institution Name,Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
129491,Hartford Seminary,,,,,,,,,
191533,Hartwick College,301,243,283,219,311,411,320,358,
166027,Harvard University,1606,1671,1631,1615,1610,1620,1616,1609,
115409,Harvey Mudd College,228,217,208,210,187,210,197,191,
181127,Hastings College,174,203,187,192,244,257,156,232,
212911,Haverford College,344,338,338,336,328,320,316,324,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,,,,,,,,,
166045,Hebrew College,,,,,,,,,
145497,Hebrew Theological College,32,23,47,142,60,77,79,88,
203067,Hebrew Union College-Jewish Institute of Religion,,,,,,,,,
203085,Heidelberg University,236,215,248,212,223,239,223,173,
191597,Helene Fuld College of Nursing,,,,,0,0,0,0,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,7,9,10,26,13,21,11,13,
107080,Hendrix College,274,290,291,342,248,377,324,324,
101453,Heritage Christian University,4,8,1,4,0,4,2,1,
235422,Heritage University,70,69,82,72,89,50,55,63,
200785,Herzing University-Akron,1,2,6,1,0,0,1,1,
140340,Herzing University-Atlanta,5,6,3,9,9,13,6,8,
101365,Herzing University-Birmingham,1,1,1,0,1,0,1,2,
459851,Herzing University-Brookfield,6,1,3,3,1,4,8,1,
459842,Herzing University-Kenosha,7,8,1,7,8,3,15,4,
240392,Herzing University-Madison,7,4,6,13,16,15,32,29,
174154,Herzing University-Minneapolis,8,7,4,3,5,1,1,6,
433536,Herzing University-New Orleans,1,0,3,9,7,3,1,2,
386472,Herzing University-Orlando,8,2,3,1,1,2,2,1,
155177,Hesston College,11,8,16,11,0,104,128,134,
198695,High Point University,1179,904,1095,1115,1128,894,942,952,
485403,High Tech High Graduate School of Education,,,,,,,,,
191621,Hilbert College,171,114,101,109,129,136,129,149,
170286,Hillsdale College,326,336,340,342,341,,,,
203128,Hiram College,158,195,145,112,182,199,230,230,
191630,Hobart William Smith Colleges,540,545,499,534,555,558,529,605,
134510,Hobe Sound Bible College,23,20,16,17,18,10,10,5,
367884,Hodges University,11,15,16,39,18,33,26,25,
191649,Hofstra University,1278,1335,1322,1343,1360,1290,1159,1310,
232308,Hollins University,177,121,174,135,133,117,86,128,
129534,Holy Apostles College and Seminary,5,4,1,6,3,0,6,4,
150774,Holy Cross College,57,77,97,108,82,98,75,79,
239743,Holy Family College,26,42,39,43,29,29,36,34,
212984,Holy Family University,258,283,255,260,192,209,240,220,
115728,Holy Names University,117,111,78,88,53,61,91,89,
457086,Homestead Schools,0,0,0,0,14,9,38,29,
162760,Hood College,178,181,170,208,216,214,209,237,
443076,Hood Theological Seminary,,,,,,,,,
170301,Hope College,725,695,636,714,725,735,797,761,
120537,Hope International University,64,53,71,72,62,55,79,82,
457226,Horizon University,0,0,0,1,0,0,0,1,
191676,Houghton College,173,199,217,228,209,193,204,232,
225399,Houston Baptist University,361,351,413,367,430,376,323,338,
246345,Houston Graduate School of Theology,,,,,,,,,
225548,Howard Payne University,107,121,155,142,190,185,181,172,
131520,Howard University,1293,1760,846,1416,1307,1340,1122,1233,
164368,Hult International Business School,165,115,71,121,0,,,,
115773,Humphreys University-Stockton and Modesto Campuses,2,1,3,7,10,24,36,36,
101435,Huntingdon College,153,197,180,155,150,184,171,141,
150941,Huntington University,179,179,157,163,179,194,189,177,
449348,Huntsville Bible College,2,0,0,0,1,1,1,1,
487524,Husson University,471,414,463,395,402,,,,
225575,Huston-Tillotson University,121,117,78,88,110,127,106,104,
193405,Icahn School of Medicine at Mount Sinai,,,,,,,,,
127273,Iliff School of Theology,,,,,,,,,
145691,Illinois College,229,199,224,186,199,206,231,208,
145628,Illinois College of Optometry,,,,,,,,,
145725,Illinois Institute of Technology,536,407,450,430,384,401,349,387,
145646,Illinois Wesleyan University,416,345,377,419,423,485,429,453,
213011,Immaculata University,157,147,168,149,181,228,200,195,
465812,Independence University,1290,397,148,302,87,55,0,10,
151290,Indiana Institute of Technology,283,271,340,284,290,264,236,243,
492962,Indiana Institute of Technology-College of Professional Studies,36,1905,,,,,,,
151801,Indiana Wesleyan University-Marion,570,620,534,561,539,604,563,554,
488679,Indiana Wesleyan University-National & Global,0,0,0,0,,,,,
145886,Institute for Clinical Social Work,,,,,,,,,
462044,Institute for Doctoral Studies in the Visual Arts,,,,,,,,,
489335,Institute of Buddhist Studies,,,,,,,,,
454838,Institute of Taoist Education and Acupuncture,,,,,,,,,
455804,Institute of World Politics,,,,,,,,,
140146,Interdenominational Theological Center,,,,,,,,,
436614,International Baptist College and Seminary,6,4,8,2,11,8,3,7,
448691,International Institute for Restorative Practices,,,,,,,,,
443128,International Technological University,,,,,,,,,
191931,Iona College,616,641,704,648,615,766,597,655,
153621,Iowa Wesleyan University,94,140,97,59,35,59,49,49,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,,,,,,,,,
191968,Ithaca College,1449,1378,1348,1530,1346,1515,1382,1367,
134945,Jacksonville University,457,443,388,345,269,387,355,315,
225885,Jarvis Christian College,164,147,112,135,97,87,102,48,
192040,Jewish Theological Seminary of America,30,35,39,38,41,31,38,41,
107141,John Brown University,262,260,265,305,258,256,262,301,
203368,John Carroll University,752,626,617,641,676,676,600,647,
116712,John F. Kennedy University,0,0,,,,,,,
462354,John Paul the Great Catholic University,65,60,59,45,39,29,29,20,
162928,Johns Hopkins University,1377,1375,1322,1315,1416,1340,1343,1304,
445708,Johnson & Wales University-Charlotte,277,298,338,361,373,368,344,393,
439288,Johnson & Wales University-Denver,155,131,181,186,170,180,242,247,
414823,Johnson & Wales University-North Miami,179,198,212,189,252,287,292,370,
217235,Johnson & Wales University-Providence,994,1043,1367,1283,1287,1371,1372,1585,
198756,Johnson C Smith University,229,232,209,218,179,154,215,267,
220473,Johnson University,117,101,104,126,139,108,144,117,
132879,Johnson University Florida,31,29,24,21,28,17,59,62,
101541,Judson College,37,40,49,42,57,37,46,53,
146339,Judson University,116,117,127,107,140,130,112,98,
461139,Jung Tao School of Classical Chinese Medicine,,,,,,,,,
213251,Juniata College,300,286,318,302,362,344,353,328,
