,UnitID,Institution Name
267,444778,Charlotte Christian College and Theological Seminary
271,492607,Chicago School of Professional Psychology at Dallas
272,144014,Chicago Theological Seminary
274,189981,Christ the King Seminary
276,150215,Christian Theological Seminary
277,112127,Church Divinity School of the Pacific
278,201867,Cincinnati College of Mortuary Science
284,112251,Claremont Graduate University
286,124283,Claremont School of Theology
297,177038,Cleveland University-Kansas City
303,190080,Colgate Rochester Crozer Divinity School
324,238573,Columbia College of Nursing
326,139348,Columbia Theological Seminary
333,177092,Concordia Seminary
334,150288,Concordia Theological Seminary
345,165495,Conway School of Landscape Design
354,177126,Covenant Theological Seminary
356,169424,Cranbrook Academy of Art
371,224305,Dallas Theological Seminary
372,492102,Daniel Morgan Graduate School of National Security
377,194569,Davis College
381,113537,Dell'Arte International School of Physical Theatre
383,126979,Denver Seminary
386,154156,Des Moines University-Osteopathic Medical Center
390,445869,Divine Mercy University
391,153241,Divine Word College
394,113704,Dominican School of Philosophy & Theology
397,122117,Dongguk University Los Angeles
400,449481,Dragon Rises College of Oriental Medicine
405,492801,Drury University-College of Continuing Professional Studies
417,247162,Ecumenical Theological Seminary
418,177278,Eden Theological Seminary
420,442806,Edward Via College of Osteopathic Medicine
423,486080,Elmezzi Graduate School of Molecular Medicine
438,224712,Episcopal Theological Seminary of the Southwest
439,409254,Erikson Institute
443,212443,Evangelical Theological Seminary
445,460376,Fairfax University of America
451,212452,Faith Theological Seminary
452,443058,Family of Faith Christian University
456,114549,Fielding Graduate University
468,114734,Franciscan School of Theology
478,114840,Fuller Theological Seminary
480,481030,Future Generations University
484,145275,Garrett-Evangelical Theological Seminary
485,456542,Geisinger Commonwealth School of Medicine
495,115083,Golden Gate University-San Francisco
501,165945,Gordon-Conwell Theological Seminary
507,481058,Grace Mission University
508,481401,Grace School of Theology
510,115214,Graduate Theological Union
512,212771,Gratz College
532,129491,Hartford Seminary
538,173683,Hazelden Betty Ford Graduate School of Addiction Studies
539,166045,Hebrew College
541,203067,Hebrew Union College-Jewish Institute of Religion
543,191597,Helene Fuld College of Nursing
559,485403,High Tech High Graduate School of Education
561,170286,Hillsdale College
573,457086,Homestead Schools
575,443076,Hood Theological Seminary
578,457226,Horizon University
581,246345,Houston Graduate School of Theology
584,164368,Hult International Business School
589,487524,Husson University
591,193405,Icahn School of Medicine at Mount Sinai
592,127273,Iliff School of Theology
594,145628,Illinois College of Optometry
600,492962,Indiana Institute of Technology-College of Professional Studies
602,488679,Indiana Wesleyan University-National & Global
603,145886,Institute for Clinical Social Work
604,462044,Institute for Doctoral Studies in the Visual Arts
605,489335,Institute of Buddhist Studies
606,454838,Institute of Taoist Education and Acupuncture
607,455804,Institute of World Politics
608,140146,Interdenominational Theological Center
610,448691,International Institute for Restorative Practices
611,443128,International Technological University
614,441238,Irell & Manella Graduate School of Biological Sciences at City of Hope
621,116712,John F. Kennedy University
633,461139,Jung Tao School of Classical Chinese Medicine
636,155308,Kansas Christian College
638,179812,Kansas City University of Medicine and Biosciences
639,490601,Kansas City University of Medicine and Biosciences-Joplin
641,440031,Keck Graduate Institute
644,177816,Kenrick Glennon Seminary
660,165264,Laboure College
666,407629,Lake Erie College of Osteopathic Medicine
668,146490,Lake Forest Graduate School of Management
670,146533,Lakeview College of Nursing
672,213446,Lancaster Theological Seminary
689,157207,Lexington Theological Seminary
691,117520,Life Chiropractic College West
702,437325,Linfield University-Online and Continuing Education
703,437316,Linfield University-School of Nursing
706,177986,Logan University
707,117636,Loma Linda University
712,157298,Louisville Presbyterian Theological Seminary
721,173896,Luther Seminary
722,146728,Lutheran School of Theology at Chicago
730,182917,Magdalen College
741,446394,Maple Springs Baptist Bible College and Seminary
749,440411,Marlboro College Graduate & Professional Studies
752,123943,Marshall B Ketchum University
758,164085,Maryland University of Integrative Health
766,369002,Massachusetts School of Law
767,173957,Mayo Clinic College of Medicine and Science
768,146977,McCormick Theological Seminary
774,147031,Meadville Lombard Theological School
775,490328,Mechon L'hoyroa
777,239169,Medical College of Wisconsin
778,220792,Meharry Medical College
779,220808,Memphis College of Art
780,220871,Memphis Theological Seminary
795,203997,Methodist Theological School in Ohio
798,166869,MGH Institute of Health Professions
799,169220,Michigan School of Psychology
800,169628,Michigan State University-College of Law
804,481225,Mid-South Christian College
806,220996,Middle Tennessee School of Anesthesia Inc
808,119058,Middlebury Institute of International Studies at Monterey
812,143853,Midwestern University-Downers Grove
813,423643,Midwestern University-Glendale
815,486901,Milligan University
824,211130,Missio Theological Seminary
829,175281,Mitchell Hamline School of Law
833,262165,Montana Bible College
841,140562,Morehouse School of Medicine
860,239424,Nashotah House
863,147590,National University of Health Sciences
864,209296,National University of Natural Medicine
866,178518,Nazarene Theological Seminary
873,185758,New Brunswick Theological Seminary
