unitid,institution name,year,HD2020.State abbreviation,HD2020.Sector of institution
215105,The University of the Arts,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215114,Cairn University-Langhorne,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215123,Philadelphia College of Osteopathic Medicine,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215132,University of the Sciences,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215415,Pittsburgh Technical College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215424,Pittsburgh Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215442,Point Park University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215619,Reconstructionist Rabbinical College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215628,Reformed Presbyterian Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215655,Robert Morris University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215691,Rosemont College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215743,Saint Francis University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215770,Saint Joseph's University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215798,Saint Vincent College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215813,Saint Vincent Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215929,University of Scranton,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215947,Seton Hill University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216047,Saint Charles Borromeo Seminary-Overbrook,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216278,Susquehanna University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216287,Swarthmore College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216311,Talmudical Yeshiva of Philadelphia,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216348,Theological Seminary of the Reformed Episcopal Church,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216357,Thiel College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216366,Thomas Jefferson University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216463,Trinity Episcopal School for Ministry,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216524,Ursinus College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216542,University of Valley Forge,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216597,Villanova University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216667,Washington & Jefferson College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216694,Waynesburg University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216807,Westminster College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216816,Westminster Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216852,Widener University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216931,Wilkes University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
217013,Wilson College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
217040,Yeshivath Beth Moshe,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
217059,York College of Pennsylvania,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
407629,Lake Erie College of Osteopathic Medicine,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
442064,Won Institute of Graduate Studies,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
442356,Pennsylvania College of Health Sciences,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
446640,Harrisburg University of Science and Technology,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
448691,International Institute for Restorative Practices,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
456542,Geisinger Commonwealth School of Medicine,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
