UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
213631,United Lutheran Seminary,69447298,41936433,34031588,31877924,34290495,34552479,31273691,27541521,
215062,University of Pennsylvania,14649761000,13777441000,12213207000,10715364000,10133569000,9582335000,7741396000,6754658000,
215929,University of Scranton,209760436,205604331,187209238,164997785,170075150,162453328,145442005,125153952,
215132,University of the Sciences,162149152,171782269,167785865,158661548,168614089,174796430,157964494,147881261,
216542,University of Valley Forge,2665747,2633225,2633381,1879892,1791661,2310358,2415519,2255419,
216524,Ursinus College,137883476,144942166,147660622,136950853,143260228,146575155,129080566,121814587,
216597,Villanova University,743061000,710592000,640428000,552701000,563865441,501483015,425792960,357022093,
216667,Washington & Jefferson College,142088893,143585932,137230668,132129300,136735510,135711770,122227162,103817325,
216694,Waynesburg University,46292869,49030728,48650891,44234015,55602806,61395215,53936312,49103054,
216807,Westminster College,117044392,123411062,117825639,110130519,115512620,115107507,101710354,88039201,
216816,Westminster Theological Seminary,14439068,14395199,14396949,14101286,14208026,14025657,12938603,8170145,
216852,Widener University,94575552,91760452,87071306,80886359,87246740,90212124,80790235,72814994,
216931,Wilkes University,51847867,51627190,47733723,40589592,43364548,43688807,40486040,35707488,
217013,Wilson College,55337694,58076883,56424032,57811482,67459420,71901570,70684748,67365905,
442064,Won Institute of Graduate Studies,2914511,3314282,2742095,3662649,2953390,3131094,2723749,2737913,
217040,Yeshivath Beth Moshe,,,,,,,,,
217059,York College of Pennsylvania,155136831,152939111,148020896,134164855,82102816,81016922,68150431,61703558,
