UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
164632,Bay Path University,35081,34225,33557,32739,31785,30859,29959,28532,
223223,Baylor College of Medicine,,,,,,,,,
223232,Baylor University,47364,45542,43790,42006,40198,38120,35972,33716,
476717,Be'er Yaakov Talmudic Seminary,10260,10220,9300,9140,8750,8350,7600,7100,
384254,Beacon College,40880,39016,37788,36172,34680,33016,31496,29910,
164720,Becker College,40150,39200,38250,37272,34080,32870,31500,30340,
444413,Beis Medrash Heichal Dovid,9500,9500,9375,9200,9200,8600,8000,7500,
175421,Belhaven University,26202,25300,24250,23016,21816,20780,19970,19200,
156286,Bellarmine University,42830,42200,40750,39750,37650,36290,34890,33270,
180814,Bellevue University,7851,7827,7752,7365,7050,6450,6300,6300,
238324,Bellin College,21760,20500,20500,20500,20500,20500,20405,20239,
197984,Belmont Abbey College,18500,18500,18500,18500,18500,18500,18500,27622,
219709,Belmont University,35650,34310,32820,31390,30000,28660,27380,26130,
238333,Beloit College,51532,50040,48706,47060,45050,42500,41250,38474,
217721,Benedict College,16600,16600,19958,19566,18288,18288,18254,18254,
154712,Benedictine College,30530,29530,28480,27480,26200,25100,23900,22800,
145619,Benedictine University,34290,34290,33900,32170,27465,26558,25516,24137,
165884,Benjamin Franklin Institute of Technology,17550,17550,17450,16950,16950,16950,16950,16950,
197993,Bennett College,18513,18513,18513,18513,18150,17355,17355,16794,
230816,Bennington College,55950,53860,51920,50100,48220,46667,45080,44220,
164739,Bentley University,51830,49880,48000,45760,44085,42511,41110,39628,
156295,Berea College,44700,39990,25760,25470,24870,24270,23170,21880,
461643,Bergin University of Canine Studies,,,,,,,,,
108861,Berkeley School of Theology,,,,,,,,,
164748,Berklee College of Music,45660,44140,42750,41398,40082,38910,37586,36490,
139144,Berry College,37246,36556,35176,33556,31996,30530,29090,27650,
189273,Beth Hamedrash Shaarei Yosher Institute,9850,9350,9150,8850,8250,8100,7500,7100,
189264,Beth Hatalmud Rabbinical College,,8900,8500,7750,7700,7600,7500,7300,
183804,Beth Medrash Govoha,,,,,,,,,
154721,Bethany College,29565,27850,26922,26660,25900,24390,23305,22624,
237181,Bethany College,30666,29773,28454,27696,26500,25736,25736,24780,
173142,Bethany Lutheran College,28080,27780,26830,25890,25170,24450,24080,23270,
143233,Bethany Theological Seminary,,,,,,,,,
154749,Bethel College-North Newton,29390,28540,27720,26920,25400,24200,23500,22600,
369817,Bethel Seminary of the East,,,,,,,,,
262022,Bethel Seminary-San Diego,,,,,,,,,
173179,Bethel Seminary-St Paul,,,,,,,,,
150145,Bethel University,29170,28590,28030,27390,26590,25830,24970,24280,
173160,Bethel University,38460,37300,36210,35160,34140,32990,31760,30840,
219718,Bethel University,17010,16552,16552,15764,15714,15714,15714,14520,
110060,Bethesda University,8095,8095,7898,7370,9120,9120,7620,7620,
132602,Bethune-Cookman University,14814,14814,14410,14410,14410,14410,14410,14410,
139153,Beulah Heights University,10150,10150,9880,9510,9390,9390,8940,8940,
148724,Bexley Hall Seabury Western Theological Seminary Federation,,,,,,,,,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,,,,,,,,,
110097,Biola University,41976,40488,38448,36696,34498,33322,32142,31004,
100937,Birmingham-Southern College,18238,17650,35804,34448,33128,31708,30690,30690,
442949,Birthingway College of Midwifery,,,,,,,,,
143288,Blackburn College,23510,22410,21992,21162,20364,19560,18506,17502,
143297,Blessing Rieman College of Nursing and Health Sciences,,,,,,,,,
183822,Bloomfield College,30310,29950,29300,28600,27800,26750,25880,25050,
175430,Blue Mountain College,14100,12584,11760,11212,10852,10534,9470,9230,
231554,Bluefield College,27036,26060,24800,24380,23296,22840,22390,21060,
201371,Bluffton University,33736,32766,31672,30762,30168,29316,28504,27426,
142090,Boise Bible College,12920,12520,12080,11750,11665,11665,11080,10540,
233356,Bon Secours Memorial College of Nursing,,,,,,4871,9043,8606,
189413,Boricua College,11025,11025,11025,10625,10625,10625,11025,11025,
164872,Boston Architectural College,21924,21924,21174,20666,20666,19706,27312,17330,
164614,Boston Baptist College,12600,12600,12600,12600,12600,14836,14866,14946,
164924,Boston College,57910,55464,53346,51296,49324,47436,45622,43878,
164915,Boston Graduate School of Psychoanalysis Inc,,,,,,,,,
164988,Boston University,55892,53948,52082,50240,48436,46664,44880,42994,
161004,Bowdoin College,56350,53922,51848,49900,48212,46808,45446,44118,
143358,Bradley University,34610,33760,32930,32120,31480,30844,29664,28284,
165015,Brandeis University,57561,55395,53537,51245,49598,47558,45856,44294,
262086,Brandman University,12440,12380,12360,12300,12240,12200,8800,,
139199,Brenau University,31084,29050,28510,27152,25878,24780,23350,22168,
156356,Brescia University,23500,22100,21550,21100,20440,19990,19640,19140,
