UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
177719,Barnes-Jewish College Goldfarb School of Nursing,32088646,32058360,28511392,27729994,28136151,27249666,22882171,20034256,
132471,Barry University,45448212,43980904,40086142,36571919,36195517,34517341,31422732,29713726,
197911,Barton College,29641809,29106087,28178934,25859405,27833432,28720632,25051457,22980686,
235547,Bastyr University,4118245,3799572,3689414,3413031,3303731,3287398,2943689,3444492,
160977,Bates College,329722788,315579002,293832686,250976477,261501358,263892125,233803986,216156213,
164632,Bay Path University,53589755,50579339,46320446,40824792,41457507,40865240,35354876,31742637,
223223,Baylor College of Medicine,1173488859,1171284692,1133558902,1033287025,1062671426,988247389,844260873,751377844,
223232,Baylor University,1322822000,1310781000,1231712000,1153535000,1165550000,1151200304,1061156640,964161044,
476717,Be'er Yaakov Talmudic Seminary,,,,,,,,,
384254,Beacon College,100811,92436,83990,74955,71000,56217,50200,50000,
164720,Becker College,5116037,4962182,4828270,4280799,4585364,4591549,3968243,3242559,
444413,Beis Medrash Heichal Dovid,,,,,,,,,
175421,Belhaven University,6127800,6096179,6003133,6043705,5863329,5761696,5085960,4952872,
156286,Bellarmine University,66331271,66864493,57378451,50542771,54332846,52998138,45687558,40392507,
180814,Bellevue University,87181860,87989267,83734748,75372334,74141672,71206059,49179948,44352590,
238324,Bellin College,11096347,10796759,10565802,10215786,10151773,9695985,9080660,8520166,
197984,Belmont Abbey College,9627450,9209111,9306363,8765240,9200732,9028215,8487467,7650283,
219709,Belmont University,274345595,221028145,153186052,132599042,107827318,101828642,88433300,73789111,
238333,Beloit College,136744982,160932873,159514047,145155229,145348605,130761615,117227267,102691918,
217721,Benedict College,21580288,21340095,24998716,22949714,22126665,21826278,20996052,20665998,
154712,Benedictine College,28353142,26238608,24371014,22216371,22508926,20949831,17047266,16615419,
145619,Benedictine University,35579126,36442132,,,,,12342436,11198198,
165884,Benjamin Franklin Institute of Technology,131328,2343178,3508717,4152045,4818978,4636591,3787171,3224095,
197993,Bennett College,13706721,13114789,12644610,11471858,12022770,11813469,11328745,10577334,
230816,Bennington College,40558052,34955284,33798841,25920165,17141596,17892664,15599787,15392338,
164739,Bentley University,286144000,289595000,271822000,250558000,265345000,268048000,227061000,203058000,
156295,Berea College,1218740000,1192078100,1150360300,1050679900,1101475900,1137222000,1012401100,942618000,
461643,Bergin University of Canine Studies,,,,,,,,,
108861,Berkeley School of Theology,7524745,5562652,5508640,5358370,5326844,5297847,5096660,4940707,
164748,Berklee College of Music,356061885,365075720,358716518,316410569,327745268,321453450,290634435,243450428,
139144,Berry College,1065939679,985123513,968545827,944411231,887981093,925698267,861106815,821977154,
189273,Beth Hamedrash Shaarei Yosher Institute,,,,,,,,,
189264,Beth Hatalmud Rabbinical College,,,,,,,,,
183804,Beth Medrash Govoha,12323972,13093345,13094944,14799838,14933533,13961672,12832255,9411686,
154721,Bethany College,7623184,4959426,4856798,6143867,4426360,12118775,24105465,23816987,
237181,Bethany College,39196826,42047191,42310780,42584745,46724838,49834976,45055336,42115716,
173142,Bethany Lutheran College,44116580,44260290,43295521,39853189,43004782,43155718,39897221,37433399,
143233,Bethany Theological Seminary,41085054,40059618,39009522,36249536,36981348,36850944,31763787,27927213,
154749,Bethel College-North Newton,18919196,18939979,18557369,17144116,17205090,17296851,15893676,14436499,
369817,Bethel Seminary of the East,,,,,,,,,
262022,Bethel Seminary-San Diego,,,,,,,,,
173179,Bethel Seminary-St Paul,,,,,,,,,
173160,Bethel University,49766786,53010285,33829794,32341213,31518883,28415043,26869632,25164864,
150145,Bethel University,9867949,10407469,9338152,10769176,10369946,10369370,9099541,8174497,
219718,Bethel University,11392332,3611857,3270182,3083751,3230396,3233407,3044787,2823639,
110060,Bethesda University,,,,,,,,,
132602,Bethune-Cookman University,28892137,41566015,42323284,47899540,55756884,53543296,46689391,41817907,
139153,Beulah Heights University,,,,,,,,,
148724,Bexley Hall Seabury Western Theological Seminary Federation,,,,,,19270483,15528414,,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,22561265,24314027,24158020,23546121,26153701,3981041,3732774,3689947,
110097,Biola University,161976205,154555122,146411238,123650693,119979622,113668417,93043117,79329766,
100937,Birmingham-Southern College,53117638,56701074,53528445,54221105,61011062,53921439,50042970,47392635,
442949,Birthingway College of Midwifery,,,,,,,,,
143288,Blackburn College,24791464,23369258,22074568,18804508,15073486,15640918,14684553,10989769,
143297,Blessing Rieman College of Nursing and Health Sciences,,,,,,,,,
183822,Bloomfield College,14255359,15133518,14403500,12605066,13062407,12437675,10717706,9504367,
175430,Blue Mountain College,19900336,17453484,15605635,13885663,13232193,13290269,12456613,11151285,
231554,Bluefield College,6768569,6818437,6889434,6751955,6935941,7063694,6141232,5741221,
201371,Bluffton University,23136427,25253518,24237362,22641748,23113645,23521163,20852864,19254288,
142090,Boise Bible College,1022498,820474,817956,714714,826711,853749,,673074,
233356,Bon Secours Memorial College of Nursing,200057,247182,,,,,,,
189413,Boricua College,627078,654428,640261,662388,572120,536068,644370,639100,
164872,Boston Architectural College,11715986,11840710,11132536,10083165,10541982,10710975,9603674,8673793,
164614,Boston Baptist College,,,,,,,,,
164924,Boston College,2433821107,2515666637,2334883037,2109860476,2258601496,2105654033,1868698514,1632634855,
164915,Boston Graduate School of Psychoanalysis Inc,,,,,,,,,
164988,Boston University,2311388000,2179287000,1957021000,1654531000,1644117000,1616004000,1403061000,1190512073,
161004,Bowdoin College,1743671000,1628165000,1455909000,1339981000,1392760000,1216030000,1038640000,902364000,
143358,Bradley University,285746618,304403917,292954404,270529305,277175310,279019580,258575042,227539450,
165015,Brandeis University,1073525868,1046386225,976887030,866777826,915087056,861152377,766204934,674521808,
262086,Brandman University,5000,5000,5000,3161863,,,,,
139199,Brenau University,49482308,47903922,45253979,38344473,38670897,38353646,32706736,29323374,
156356,Brescia University,12872991,13513494,12948728,11560921,12522935,12242210,10988182,9606341,
